feature,importance
num__mntwines,0.07874171140889041
num__catalog_purchase_share,0.05846589503669255
num__mnttotal,0.05326537518859511
num__total_spending,0.05109400317376713
num__mntregularprods,0.05071197244670371
num__income,0.04560109962718836
num__store_purchase_share,0.04387935999099327
num__mntwines_share,0.0420795647369101
num__mntmeatproducts_share,0.04131699078198461
num__avg_ticket_proxy,0.03781940102365895
num__mntgoldprods_share,0.03382003697111678
num__mntfishproducts_share,0.029195033309903008
num__deal_purchase_share,0.027040712666100645
num__numcatalogpurchases,0.026508744751207285
num__mntgoldprods,0.025398617086419276
num__mntsweetproducts_share,0.024911176753756356
num__numstorepurchases,0.024223851977650628
num__mntmeatproducts,0.02337371814096852
num__mntfruits_share,0.023025081067207732
num__customer_days,0.02183774254026522
num__total_purchases,0.019324698721492253
num__index,0.018338061113976165
num__web_purchase_share,0.016817182948709243
num__mntsweetproducts,0.016739128719652867
num__mntfishproducts,0.01653047886497815
num__web_visit_to_purchase_ratio,0.015516825546397515
num__mntfruits,0.01455410733901779
num__numwebpurchases,0.014458739518605322
num__age,0.013899533606180122
num__recency,0.013222025069515373
cat__customer_value_group_Very high value,0.013050700231092106
num__numwebvisitsmonth,0.011868865057735607
num__numdealspurchases,0.007855310332468734
num__family_size_proxy,0.00706715241326929
num__children_total,0.005372374199926257
num__teenhome,0.0043460085636447855
cat__marital_status_Together,0.003819405784510876
cat__education_Graduation,0.0029080558867407387
cat__marital_status_Married,0.002750600305582534
num__kidhome,0.0022939145948798353
cat__marital_status_Single,0.002022155623373184
cat__education_PHD,0.002012048674588816
cat__recency_risk_group_High recency,0.0018650775381286295
cat__customer_value_group_High value,0.0018176774102803982
cat__recency_risk_group_Moderate recency,0.001593515584003746
cat__recency_risk_group_Recently active,0.001410840228740673
cat__recency_risk_group_Very high recency risk,0.0012177397626043393
cat__customer_value_group_Medium value,0.0011901274125171687
cat__customer_value_group_Low value,0.0010598529194114851
cat__education_Master,0.0009075585281396367
cat__education_2n Cycle,0.000857716241659207
cat__marital_status_Divorced,0.0006853061336194122
cat__education_Basic,0.0002029754423440544
cat__marital_status_Widow,0.00011415100223410366
num__complain,0.0
